Name,Team,Rating,,,,
Neemias Queta,BOS,0.7,0.7,0.6,3.3,0.686
Nic Batum,LAC,-0.1,0.1,-1.3,0.8,-0.06411111111
Nic Claxton,BKN,0.7,1.2,-0.4,3.2,0.6982222222
Nickeil Alexander-Walker,ATL,0.2,0.2,0.1,1.5,0.2476666667
Nikola Vucevic,CHI,0.2,0.8,-2,2.4,0.2466666667
Noah Clowney,BKN,-0.1,-0.3,-0.3,0.6,-0.07633333333
Norman Powell,MIA,0.8,1.2,0.8,2.9,0.8368888889
OG Anunoby,NYK,0.7,0.4,2.8,1.5,0.7013333333
Onyeka Okongwu,ATL,0.6,0.5,1,2.4,0.5766666667
Paolo Banchero,ORL,0.4,0.7,0.1,1.6,0.4254444444
Pascal Siakam,IND,0.9,1.1,2.2,2.2,0.9264444444
Patrick Williams,CHI,-0.4,-0.4,-1.6,0.1,-0.3515555556
Paul George,PHI,0.4,0.3,1.3,0.9,0.3863333333
Payton Pritchard,BOS,0.9,0.9,1.7,3.4,0.9214444444
Pelle Larsson,MIA,0.1,0.2,-1.1,1.4,0.06455555556
Peyton Watson,DEN,0.1,0.1,-0.5,1.5,0.1283333333
PJ Washington,DAL,0.2,0.3,-0.3,0.9,0.157
Precious Achiuwa,SAC,-0.1,0,-1.1,0.7,-0.07988888889
Quentin Grimes,PHI,0.3,0.4,-0.6,1.9,0.2584444444
Reed Sheppard,HOU,0.9,1.3,1,3,0.91
RJ Barrett,TOR,0.2,0.4,-0.6,1.6,0.2251111111
Ron Holland,DET,-0.1,0,-1.6,0.9,-0.1293333333
Royce ONeale,PHX,0.3,0.6,-0.5,1.9,0.3394444444
Rudy Gobert,MIN,1.2,0.7,3.2,4.2,1.158666667
Rui Hachimura,LAL,0,-0.2,-0.5,1.3,0.006111111111
Russell Westbrook,SAC,0,0.6,-1.8,0.3,-0.02466666667
Ryan Dunn,PHX,0.1,0.1,-0.6,1,0.05844444444
Ryan Kalkbrenner,CHA,0.3,0.4,-0.4,2.1,0.3093333333
Ryan Rollins,MIL,0.7,0.9,0.6,2.4,0.6526666667
Saddiq Bey,NOP,0.2,0.4,-1.1,1.9,0.1867777778
Sam Hauser,BOS,0.3,0.2,0.4,1.3,0.2684444444
Sam Merrill,CLE,0.3,0.3,0.2,1.3,0.2731111111
Sandro Mamukelashvili,TOR,0.6,0.8,0.7,2.5,0.6447777778
Santi Aldama,MEM,0.6,1,0.1,2.3,0.6032222222
Scottie Barnes,TOR,1.4,1.9,2.1,3.8,1.356555556
Shaedon Sharpe,POR,0.1,0,0.5,0.3,0.105
Shai Gilgeous-Alexander,OKC,3.3,4.2,6.4,8.6,3.272888889
Sidy Cissoko,POR,-0.4,-0.5,-1.9,0.2,-0.4167777778
Sion James,CHA,-0.1,-0.3,-0.8,1.1,-0.09244444444
Spencer Jones,DEN,-0.1,0.1,-2.1,1.4,-0.1121111111
Steph Curry,GSW,1.3,1.6,3.2,2.7,1.292
Stephon Castle,SAS,0.3,0.5,-0.2,1.8,0.338
Steven Adams,HOU,0.6,0.3,1.9,1.7,0.5612222222
Svi Mykhailiuk,UTA,-0.1,0,-1.3,0.7,-0.1085555556
Tari Eason,HOU,0.7,0.5,2.3,1.4,0.6518888889
Terance Mann,BKN,-0.1,0,-2,1.4,-0.1311111111
Tim Hardaway Jr,DEN,0.1,0.2,-1.4,1.9,0.07711111111
Tobias Harris,DET,0.3,0.3,0.1,1.7,0.3032222222
Toumani Camara,POR,0.2,-0.1,0.7,1.1,0.1892222222
Trae Young,ATL,0.3,0.2,1.1,0.8,0.3132222222
Tre Johnson,WAS,-0.3,0,-2.4,0.3,-0.3106666667
Tre Jones,CHI,0.4,0.5,-0.3,2.4,0.3903333333
Trey Murphy III,NOP,0.6,1.1,-0.8,2.8,0.5631111111
Tristan Da Silva,ORL,0,0.1,-1,1,0.001111111111
Tyler Herro,MIA,0.4,0.3,1.6,0.6,0.396
Tyrese Martin,BKN,-0.3,-0.1,-2,0.2,-0.2977777778
Tyrese Maxey,PHI,1.6,2.7,1.5,4.8,1.648333333
Victor Wembanyama,SAS,1.5,1.7,4.7,2.7,1.540333333
Vit Krejci,ATL,0.2,0.3,-0.5,1.7,0.2172222222
VJ Edgecombe,PHI,0.1,0.4,-1.8,2,0.09755555556
Wendell Carter Jr,ORL,0.6,0.5,0.5,3.1,0.5827777778
Will Richard,GSW,0.2,0.4,-0.8,1.7,0.2075555556
Zaccharie Risacher,ATL,-0.2,-0.3,-1,0.7,-0.1655555556
Zach Edey,MEM,0.3,0.2,0.6,0.9,0.2526666667
Zach LaVine,SAC,-0.1,0,-1.1,0.6,-0.091
Ziaire Williams,BKN,-0.2,-0.1,-1.7,0.6,-0.2103333333
Zion Williamson,NOP,0.7,1,1.5,1.8,0.7483333333
